['63伊哈洛进球', '1920*1080', '11395', 0.24, '159', 'ftp://src_linux:RN64DvxRngRy@10.200.99.15:2121/c1/14/2c/c1142cd91105f8c4908d8907c84fe58c-256412072.ts']
['中超-17赛季-联赛-第21轮-第72分钟解围 鲁能错失最佳进球机会 郑铮似传似射竟被刘欢直上直下踢出底线-花絮', '1920*1080', '13121', 0.06, '34', 'ftp://src_linux:fHcZ0Rge7bNg@10.200.99.14:2121/db/fe/ee/dbfeee961a2565ad3494526db9341542-62408668.ts']
['中超-17赛季-联赛-第21轮-河南建业主队更衣室 巴索戈球衣自带光环-花絮', '1920*1080', '11394', 0.17, '111', 'ftp://src_linux:RN64DvxRngRy@10.200.99.15:2121/35/d6/03/35d60392f15e01ac1483b51647d12c21-179482660.ts']
['体育快评0809', '1920*1080', '13120', 1.57, '945', 'ftp://src_linux:RN64DvxRngRy@10.200.99.15:2121/30/8d/6f/308d6f8e002dd93fc5604e48e78ccbc5-1687190960.ts']
['三号定景', '1920*1080', '13121', 0.18, '108', 'ftp://src_linux:RN64DvxRngRy@10.200.99.15:2121/e5/3b/bf/e53bbfc653d2aab94ef21c2ccb27cf3b-194456108.ts']
['一号演播室定景', '1920*1080', '13121', 0.31, '183', 'ftp://src_linux:fHcZ0Rge7bNg@10.200.99.14:2121/3e/99/d1/3e99d1c0526bde28c478f3ce9a6391ed-328101172.ts']
['二号演播室定景', '1920*1080', '13121', 0.13, '79', 'ftp://src_linux:RN64DvxRngRy@10.200.99.15:2121/2e/46/9a/2e469a904c2a982e386972fab425fae1-142728096.ts']
['四号演播室定景', '1920*1080', '13120', 0.26, '156', 'ftp://src_linux:fHcZ0Rge7bNg@10.200.99.14:2121/78/93/fa/7893fa92078af38c8b363562af0f6c4e-280011900.ts']
['十分中超0808', '1920*1080', '13121', 0.66, '394', 'ftp://src_linux:RN64DvxRngRy@10.200.99.15:2121/ef/fa/fe/effafec300524e7841afcf4e5d7046e9-704677204.ts']
['素材-盯奥斯卡+曼联队长', '1920*1080', '13121', 0.2, '122', 'ftp://src_linux:fHcZ0Rge7bNg@10.200.99.14:2121/2f/20/e7/2f20e7135a332c6cb600c4615c455fd1-219432472.ts']
['素材-姬宇阳建议两场同时开球', '1920*1080', '13120', 0.12, '69', 'ftp://src_linux:RN64DvxRngRy@10.200.99.15:2121/53/b1/f3/53b1f3954d34617b1ed6677991bea559-124873924.ts']
['素材-李铁称恒大替补远好于上港', '1920*1080', '13120', 0.12, '71', 'ftp://src_linux:RN64DvxRngRy@10.200.99.15:2121/be/18/c7/be18c72d7d1261ba502cd56e3466dc80-128448180.ts']
['星耀拆条素材2jh', '1920*1080', '13121', 0.2, '121', 'ftp://src_linux:fHcZ0Rge7bNg@10.200.99.14:2121/c4/39/2e/c4392e430ebec60d561425336a97d04f-217634816.ts']
['星耀拆条素材jh', '1920*1080', '13120', 0.43, '260', 'ftp://src_linux:fHcZ0Rge7bNg@10.200.99.14:2121/e7/e2/36/e7e236e06fc6ce4563ca2648eaf6ea2f-465428404.ts']
['test', '1920*1080', '12824', 0.37, '223', 'ftp://src_linux:fHcZ0Rge7bNg@10.200.99.14:2121/11/3b/16/113b16694342e5476b1e8f5269b07d19-398267660.ts']
